amostra,arquivo,tratamento,area_px,area_cm2,perimetro_px,perimetro_cm,diametro_equiv_cm,circularidade_img,R_mean,R_std,G_mean,G_std,B_mean,B_std,R_ratio,G_ratio,B_ratio,RG_ratio,RG_diff_norm,H_mean,H_std,S_mean,S_std,V_mean,V_std,L_mean,L_std,a_mean,a_std,b_mean,b_std,GLCM_contrast,GLCM_homogeneity,GLCM_energy,GLCM_correlation
23,alaranjado_23.png,alaranjado,5880.0,24.565636714824183,307.1370825767517,19.852152568060603,5.592668424545848,0.7832901778848608,193.68344965104686,50.88787936694565,124.37437686939182,72.59232959391277,37.09604519774011,49.21481943773728,0.5811435211184928,0.3274746377917884,0.09138183708271455,1.557261656049753,0.21791343203839614,21.88118976404121,26.792929885289404,206.6929212362911,54.69934215610379,194.6523762047192,51.40605393685943,150.7475905616484,57.05059992808194,20.0644732469259,25.98162228653384,54.37321369225657,22.39909526302478,23.219753482318296,0.559085926832072,0.16981045644073267,0.9646964454066502
24,alaranjado_24.png,alaranjado,5185.0,21.662045300401935,289.48022878170013,18.710881860953105,5.251759009733427,0.7775365448573544,180.42464722483538,49.531772961238126,108.26359360301035,47.763807616606094,43.89200376293509,56.246691568070936,0.5651266610529034,0.32013302392590115,0.11474031090228112,1.6665310983477963,0.24996187293577768,22.097460018814676,29.69155172407934,193.558231420508,62.288336191219884,182.020884289746,50.26783332449301,135.93000940733774,42.75052653480111,23.960489181561627,19.044482773908726,45.31269990592662,21.070406959447993,17.88930769388495,0.5337790926429454,0.16800300228466558,0.9602125327959826
25,alaranjado_25.png,alaranjado,6911.5,28.875067713351587,337.3208478689194,21.803114362160816,6.063404824811285,0.7633009621824868,200.19195353449498,49.01174203679499,118.39382348774613,47.62038996037212,36.529536761580964,37.25048850465667,0.576018670302308,0.3256857151538931,0.09829561086061606,1.6908986123276644,0.25675386564505825,17.701799121688623,20.391859159521168,205.8984275393115,46.44400695065796,200.41266468338293,49.11919018636203,147.42088114463806,43.13320338752235,26.07578977192236,16.58077222920202,54.16390423572744,17.905488299227738,19.735323696028335,0.537655943006747,0.19190739064145834,0.9623415135124931
26,alaranjado_26.png,alaranjado,5481.5,22.90077170957632,296.69343197345734,19.177115404183436,5.39983038118651,0.7825163453470367,192.02173913043478,46.382154236467734,138.4208838203849,62.46952767116419,45.237170349251606,55.310600533791124,0.5356462324703606,0.3557827519886677,0.10857101178699073,1.3872309758719028,0.162209265466998,24.634533143264434,26.72475736760281,195.75677120456166,59.93440669869605,193.55185317177478,47.38126532088643,158.05737704918033,51.411830574146116,12.970598717034932,22.520308996946415,53.16892373485388,23.275098196611236,19.402548324151855,0.5300273853951974,0.19091048971583643,0.9705076471140961
27,alaranjado_27.png,alaranjado,6493.5,27.128735035324972,330.4924213886261,21.36175129668763,5.877191356899827,0.7470775723595862,187.82145547687207,50.452336058524146,150.15910803073677,57.02318661958883,47.898448094018384,52.645876391622,0.5021435688096156,0.3825423428858409,0.11531408459867784,1.2508162620918724,0.11143347103702296,24.47973481994877,19.01295136141786,190.5582341419316,57.56776112603614,188.50534880216966,50.96893182585509,162.39279795088143,53.0477580485974,5.2906433629651985,12.343157032604802,53.7563658279343,22.82986660126942,19.0103722717695,0.49257912518328134,0.16486298847139963,0.9710735807286616
28,alaranjado_28.png,alaranjado,6391.5,26.70259643925149,317.86500453948975,20.545563932640142,5.830849143440374,0.7949269553067908,204.8765885775532,50.86181863705498,185.27713979482468,57.72346599573891,55.13091410197519,52.14351165243849,0.469692185889575,0.41085249651141775,0.11945531431690244,1.105784489649659,0.05023519527612167,27.787322002756085,14.685200721681621,185.29796355841373,57.38138646743672,207.24789465625477,51.79540220783709,190.23472668810288,53.28835355026907,-5.526259378349408,14.269322800748046,61.450313887612936,24.57099876953137,28.669243293729764,0.5938983698261115,0.18256456319594733,0.9650789383313625
29,alaranjado_29.png,alaranjado,5933.5,24.789150586294095,312.6934314966202,20.21129346226065,5.618053649340178,0.7625762825030044,190.6518445322793,45.70649114977917,113.25263504611331,53.2712044321018,34.371212121212125,43.90953556518817,0.5826541394775266,0.3239661110646587,0.09337974550806133,1.6834208119857907,0.25468268627977914,19.115612648221344,22.64298310252974,207.12845849802372,52.54786042682122,191.44812252964428,46.151041014536546,141.965744400527,45.046354537525445,24.954216073781282,21.11417013552609,52.33909749670619,18.752298050890733,17.496468225027765,0.5573392598125901,0.18199568582961287,0.9649002668222187
30,alaranjado_30.png,alaranjado,7034.5,29.388940726263726,342.4924215078354,22.137384871066445,6.1171203609669735,0.753600478958498,198.01670146137786,41.69341993584078,139.39415448851776,50.204926958932795,39.84411969380654,48.10347726795749,0.540271595017526,0.3631481186125481,0.09658028299243729,1.4205523952378978,0.17374232561095496,23.214752957550452,23.048173918390432,204.17633959638135,51.54209767432485,198.9082811412665,42.140026638954744,159.52372999304106,43.23634486876938,14.80320111343076,17.100105305052825,56.52929714683367,20.306325251661065,19.198934595527625,0.6043561146105109,0.21708061521877445,0.969110270620035
31,alaranjado_31.png,alaranjado,5998.5,25.06070949555661,311.320848941803,20.122575037048414,5.648742014719974,0.7777430073842816,184.01141366378607,48.90034722863388,127.17397684656775,51.06619524248951,39.40453285504647,47.35831091356047,0.5360579438179549,0.3576071950164733,0.10633485727677194,1.4469266180050708,0.18264815241279478,23.210174466003586,24.36802080214989,198.63786075330182,55.84608645525685,187.31191912603947,49.27741741803714,148.5460622859938,44.171216902436974,15.086254687754774,23.51946843806274,51.918962987118874,20.755856925385963,18.534772887941926,0.5407127325701135,0.20081746931873073,0.9654337434384713
32,alaranjado_32.png,alaranjado,5146.5,21.501198869531063,300.6934313774109,19.43565988788183,5.232224828875564,0.7152765036167247,195.11725705626066,48.59603112325539,150.58476984277326,60.712801711223335,59.316726652775145,52.95763913293265,0.501056442841919,0.3617592002460238,0.13718435329280604,1.2957303448698947,0.12881754696126227,24.44364462966471,22.885612853339026,178.1663193786702,57.25379100881233,197.08126539117256,49.476214887366105,165.79996211403676,52.92077298826423,8.774767948475102,18.45696190883263,51.087137715476416,22.092728155780087,27.04636902374643,0.5029181165430935,0.18006581613238673,0.9619851187380224
